State,OCTO Location ID,Address,Area / Sub,"Building Validation Commercial
/Residential",GNAF Units,OCTO Device,MDF Share,Latitude,Longitude,Hubsite ID,Hubsite,Cabinet Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,490,287 PYRMONT ST ULTIMO NSW 2007,ULTIMO,residential,320,VDSL,Master Only,-33.876631,151.198664,Syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,494,69 JONES ST ULTIMO NSW 2007,ULTIMO,residential,26,VDSL,Master Only,-33.878338,151.195958,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,495,288-306 WATTLE ST ULTIMO NSW 2007,ULTIMO,residential,165,VDSL,Master Only,-33.878338,151.195957,Syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,496,71 JONES ST ULTIMO NSW 2007,ULTIMO,residential,80,VDSL,Slave Only,-33.878338,151.195958,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,497,12 WILLIAM HENRY ST ULTIMO NSW 2007,ULTIMO,residential,21,VDSL,Slave Only,-33.878338,151.195958,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,498,310 WATTLE ST ULTIMO NSW 2007,ULTIMO,residential,86,VDSL,Slave Only,-33.878338,151.195958,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,500,308 WATTLE ST ULTIMO NSW 2007,ULTIMO,residential,22,VDSL,Slave Only,-33.878338,151.195958,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,503,89-97 JONES ST ULTIMO NSW 2007,ULTIMO,residential,125,VDSL,Standalone Only,-33.87911,151.196669,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,507,60 MACARTHUR ST ULTIMO NSW 2007,ULTIMO,residential,14,UBE,Master Only,-33.879709,151.19795,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,509,344 BULWARA RD ULTIMO NSW 2007,ULTIMO,residential,102,VDSL,Standalone Only,-33.880211,151.199139,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,510,61-65 MACARTHUR ST ULTIMO NSW 2007,ULTIMO,residential,102,VDSL,Standalone Only,-33.880332,151.198229,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,511,528 JONES ST ULTIMO NSW 2007,ULTIMO,residential,50,UBE,Standalone Only,-33.880586,151.198232,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,517,17-19 MACARTHUR ST ULTIMO NSW 2007,ULTIMO,residential,58,UBE,Standalone Only,-33.880894,151.196361,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,518,558 JONES ST ULTIMO NSW 2007,ULTIMO,residential,85,VDSL,Standalone Only,-33.881041,151.198476,Syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,520,646 HARRIS ST ULTIMO NSW 2007,ULTIMO,residential,78,VDSL,Standalone Only,-33.881324,151.200997,Syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,524,29-31 MOUNTAIN ST ULTIMO NSW 2007,ULTIMO,residential,20,UBE,Standalone Only,-33.882172,151.195866,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,527,16-20 SMAIL ST ULTIMO NSW 2007,ULTIMO,residential,89,VDSL,Standalone Only,-33.882473,151.19676,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,528,2-12 SMAIL ST ULTIMO NSW 2007,ULTIMO,residential,115,VDSL,Standalone Only,-33.882628,151.195545,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,530,11 SMAIL ST ULTIMO NSW 2007,ULTIMO,residential,33,UBE,Standalone Only,-33.882966,151.196853,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,532,51-55 MOUNTAIN ST ULTIMO NSW 2007,ULTIMO,residential,32,UBE,Standalone Only,-33.8833,151.195949,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,535,70 MOUNTAIN ST ULTIMO NSW 2007,ULTIMO,residential,97,VDSL,Slave Only,-33.883652,151.19668,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,537,88 MOUNTAIN ST ULTIMO NSW 2007,ULTIMO,residential,19,VDSL,Slave Only,-33.883699,151.196816,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,538,78 MOUNTAIN ST ULTIMO NSW 2007,ULTIMO,residential,59,VDSL,Master Only,-33.883702,151.196816,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,539,58 MOUNTAIN ST ULTIMO NSW 2007,ULTIMO,residential,80,VDSL,Slave Only,-33.883622,151.197339,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,542,444 HARRIS ST ULTIMO NSW 2007,ULTIMO,residential,268,VDSL,Slave Only,-33.876804,151.19834,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,543,56 MACARTHUR ST ULTIMO NSW 2007,ULTIMO,residential,10,UBE,Slave Only,-33.879709,151.19795,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,550,107-121 QUAY ST HAYMARKET NSW 2000,SYDNEY,residential,205,VDSL,Standalone Only,-33.882416,151.203272,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,553,2 QUAY ST HAYMARKET NSW 2000,SYDNEY,residential,496,VDSL,Master Only,-33.880167,151.203216,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,556,741 GEORGE ST HAYMARKET NSW 2000,SYDNEY,residential,10,UBE,Standalone Only,-33.881257,151.204198,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,563,185-211 BROADWAY ULTIMO NSW 2007,ULTIMO,residential,613,VDSL,Standalone Only,-33.883978,151.195611,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,565,161 BROADWAY ULTIMO NSW 2007,ULTIMO,residential,78,VDSL,Slave Only,-33.883973,151.197265,syd-livp,133 LIVERPOOL ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,568,80 JOHN ST PYRMONT NSW 2009,PYRMONT,residential,14,VDSL,Slave Only,-33.867282,151.191991,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,569,45-55 HARRIS ST PYRMONT NSW 2009,PYRMONT,residential,15,VDSL,Slave Only,-33.867323,151.192362,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,570,27 HARVEY ST PYRMONT NSW 2009,PYRMONT,residential,33,VDSL,Slave Only,-33.867281,151.191994,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,572,45 BOWMAN ST PYRMONT NSW 2009,PYRMONT,residential,97,UBE,Slave Only,-33.867868,151.190057,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,573,8 DISTILLERY DR PYRMONT NSW 2009,PYRMONT,residential,90,UBE,Slave Only,-33.867868,151.190057,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,578,2 BOWMAN ST PYRMONT NSW 2009,PYRMONT,residential,53,UBE,Standalone Only,-33.868396,151.187521,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,584,3 JONES ST PYRMONT NSW 2009,PYRMONT,residential,12,VDSL,Master Only,-33.867865,151.190054,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,585,4 TAMBUA ST PYRMONT NSW 2009,PYRMONT,residential,17,UBE,Slave Only,-33.867868,151.190057,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,586,6 MOUNT ST WALK PYRMONT NSW 2009,PYRMONT,residential,13,UBE,Slave Only,-33.86612,151.191297,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,588,2 CROSS ST PYRMONT NSW 2009,PYRMONT,residential,12,VDSL,Slave Only,-33.866201,151.193071,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,589,86 BOWMAN ST PYRMONT NSW 2009,PYRMONT,residential,23,UBE,Standalone Only,-33.866382,151.19218,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,595,24 REFINERY DR PYRMONT NSW 2009,PYRMONT,residential,31,UBE,Slave Only,-33.866433,151.189163,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,597,3 DARLING ISLAND RD PYRMONT NSW 2009,PYRMONT,residential,116,VDSL,Standalone Only,-33.86399,151.196342,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,598,2 POINT ST PYRMONT NSW 2009,PYRMONT,residential,20,VDSL,Slave Only,-33.864164,151.19296,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,599,11 PIRRAMA RD PYRMONT NSW 2009,PYRMONT,residential,16,VDSL,Slave Only,-33.864164,151.19296,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,604,2-4 MOUNT ST WALK PYRMONT NSW 2009,PYRMONT,residential,46,UBE,Master Only,-33.865797,151.191086,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,606,127-133 POINT ST PYRMONT NSW 2009,PYRMONT,residential,22,VDSL,Slave Only,-33.866205,151.193072,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,607,22 POINT ST PYRMONT NSW 2009,PYRMONT,residential,21,UBE,Standalone Only,-33.86624,151.193776,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,610,96 BOWMAN ST PYRMONT NSW 2009,PYRMONT,residential,12,UBE,Standalone Only,-33.865794,151.192612,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,611,32 REFINERY DR PYRMONT NSW 2009,PYRMONT,residential,50,VDSL,Master Only,-33.866433,151.189163,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,612,24 POINT ST PYRMONT NSW 2009,PYRMONT,residential,108,VDSL,Slave Only,-33.866434,151.194145,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,614,135 POINT ST PYRMONT NSW 2009,PYRMONT,residential,29,UBE,Master Only,-33.866761,151.193122,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,615,26 POINT ST PYRMONT NSW 2009,PYRMONT,residential,148,VDSL,Slave Only,-33.866719,151.193877,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,617,2 JONES BAY RD PYRMONT NSW 2009,PYRMONT,residential,68,VDSL,Master Only,-33.866984,151.194451,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,618,25 HARVEY ST PYRMONT NSW 2009,PYRMONT,residential,17,VDSL,Master Only,-33.867281,151.191994,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,622,2-10 QUARRY MASTER DR PYRMONT NSW 2009,PYRMONT,residential,66,VDSL,Standalone Only,-33.869044,151.189565,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,624,52 MOUNT ST PYRMONT NSW 2009,PYRMONT,residential,15,UBE,Standalone Only,-33.868783,151.192743,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,625,1-27 MURRAY ST PYRMONT NSW 2009,PYRMONT,residential,133,VDSL,Standalone Only,-33.869226,151.197439,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,626,122 SAUNDERS ST PYRMONT NSW 2009,PYRMONT,residential,111,VDSL,Slave Only,-33.869263,151.189291,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,628,42 SAUNDERS ST PYRMONT NSW 2009,PYRMONT,residential,54,VDSL,Master Only,-33.869409,151.19088,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,630,120 SAUNDERS ST PYRMONT NSW 2009,PYRMONT,residential,163,VDSL,Master Only,-33.869558,151.188994,syd-kent,201 KENT ST SYDNEY NSW,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
